version,language,gaming_frequency,consent_understand,consent_publication,consent,pf1,pf2,pf3,pf4,imi1,imi2,imi3,imi4,imi5,imi6,imi7,bug,bugdesc,imi_enjoyment,play_framing,total_moves,moves_correct_form,grammatical_moves_idealised,proportion_of_valid_data_total_idealised,proportion_of_valid_data_first20_idealised,proportion_of_valid_data_providing_mechanic_actuations_total_idealised,moves_correct_form_last16,moves_correct_form_last10,grammatical_moves_last16_idealised,grammatical_moves_last10_idealised,proportion_of_valid_data_last16_idealised,proportion_of_valid_data_last10_idealised,proportion_of_valid_data_providing_mechanic_actuations_last16_idealised,time_per_input_from_moveDurations,time_per_input_from_8min
LowFraming,english,about-once-a-month,True,True,True,2,2,4,1,2,2,1,6,6,6,1,nobug,,3.142857142857143,3.5,6,6,2,0.3333333333333333,0.1,0.3333333333333333,6,6,2,2,0.125,0.2,0.3333333333333333,38.69598333332936,80.0
HighFraming,english,almost-never,True,True,True,3,4,2,2,4,4,3,5,5,5,2,nobug,,3.4285714285714284,3.5,25,25,21,0.84,0.9,0.84,16,10,14,8,0.875,0.8,0.875,11.623340000004768,19.2
HighFraming,english,almost-never,True,True,True,4,4,2,2,3,3,3,5,5,5,2,nobug,,3.142857142857143,3.75,9,9,5,0.5555555555555556,0.25,0.5555555555555556,9,9,5,5,0.3125,0.5,0.5555555555555556,30.508166666666668,53.333333333333336
LowFraming,english,about-once-a-month,True,True,True,2,2,4,3,1,2,1,5,5,5,2,nobug,,3.0,3.0,26,26,5,0.19230769230769232,0.1,0.19230769230769232,16,10,5,4,0.3125,0.4,0.3125,13.221680769230309,18.46153846153846
LowFraming,english,every-day,True,True,True,4,5,1,1,5,5,5,6,6,6,6,nobug,,4.142857142857143,4.0,33,31,25,0.7575757575757576,0.75,0.8064516129032258,15,10,13,9,0.8125,0.9,0.8666666666666667,10.655333333333331,14.545454545454545
HighFraming,english,several-times-a-week,True,True,True,3,2,4,3,1,3,1,6,6,6,1,nobug,,3.142857142857143,3.25,22,22,0,0.0,0.0,0.0,16,10,0,0,0.0,0.0,0.0,14.228236363637173,21.818181818181817
LowFraming,english,every-day,True,True,True,4,4,2,1,4,4,4,6,6,6,1,nobug,,3.2857142857142856,4.0,46,46,1,0.021739130434782608,0.05,0.021739130434782608,16,10,0,0,0.0,0.0,0.0,7.171936956520961,10.434782608695652
HighFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,4,4,4,3,nobug,,3.4285714285714284,4.25,11,9,7,0.6363636363636364,0.35,0.7777777777777778,9,8,7,7,0.4375,0.7,0.7777777777777778,30.382272727272724,43.63636363636363
LowFraming,english,several-times-a-week,True,True,True,4,4,2,2,4,4,3,5,5,5,1,nobug,,3.2857142857142856,3.75,20,18,11,0.55,0.55,0.6111111111111112,14,8,10,7,0.625,0.7,0.7142857142857143,13.654629999999935,24.0
HighFraming,english,several-times-a-week,True,True,True,3,2,3,2,3,3,3,3,4,4,3,nobug,,3.2857142857142856,3.25,19,6,3,0.15789473684210525,0.15,0.5,3,2,3,2,0.1875,0.2,1.0,14.985200000000042,25.263157894736842
HighFraming,english,about-once-a-week,True,True,True,5,4,1,1,5,4,5,6,5,5,5,nobug,,3.5714285714285716,4.0,19,11,1,0.05263157894736842,0.05,0.09090909090909091,8,5,1,0,0.0625,0.0,0.125,16.397263157894738,25.263157894736842
LowFraming,english,about-once-a-month,True,True,True,4,4,1,1,4,5,3,6,6,5,3,nobug,,3.7142857142857144,3.75,24,23,19,0.7916666666666666,0.85,0.8260869565217391,15,10,12,7,0.75,0.7,0.8,14.212212500000065,20.0
HighFraming,english,about-once-a-week,True,True,True,3,3,2,2,2,4,3,5,5,5,4,nobug,,3.4285714285714284,3.25,24,21,8,0.3333333333333333,0.25,0.38095238095238093,15,10,6,5,0.375,0.5,0.4,12.177132916636765,20.0
LowFraming,english,almost-never,True,True,True,1,1,5,4,1,2,1,1,2,1,6,nobug,,3.142857142857143,2.5,18,14,11,0.6111111111111112,0.55,0.7857142857142857,12,7,10,6,0.625,0.6,0.8333333333333334,16.560305555555555,26.666666666666668
HighFraming,english,several-times-a-week,True,True,True,2,2,2,3,1,1,1,3,2,4,2,nobug,,2.5714285714285716,2.5,21,19,8,0.38095238095238093,0.4,0.42105263157894735,16,10,7,2,0.4375,0.2,0.4375,14.15148095237925,22.857142857142858
LowFraming,english,about-once-a-week,True,True,True,2,3,4,2,2,3,3,3,3,2,5,nobug,,3.0,3.5,31,31,15,0.4838709677419355,0.45,0.4838709677419355,16,10,8,5,0.5,0.5,0.5,10.879983870963898,15.483870967741936
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,3,6,5,6,1,nobug,,3.5714285714285716,4.25,7,7,2,0.2857142857142857,0.1,0.2857142857142857,7,7,2,2,0.125,0.2,0.2857142857142857,13.778499999999998,68.57142857142857
HighFraming,english,about-once-a-month,True,True,True,2,3,3,2,4,4,3,6,4,6,3,bug,"during the last try of the 2nd level, i was given two options instead of three to remove the shapes",3.4285714285714284,3.25,15,14,9,0.6,0.45,0.6428571428571429,14,10,9,7,0.5625,0.7,0.6428571428571429,19.327779999999823,32.0
HighFraming,english,several-times-a-week,True,True,True,5,5,1,1,5,5,4,6,6,6,1,nobug,,3.5714285714285716,4.25,17,17,13,0.7647058823529411,0.65,0.7647058823529411,16,10,13,10,0.8125,1.0,0.8125,16.929299999997898,28.235294117647058
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,20,19,14,0.7,0.7,0.7368421052631579,16,10,12,7,0.75,0.7,0.75,14.640525000000371,24.0
LowFraming,english,almost-never,True,True,True,3,3,2,2,3,3,2,4,4,4,3,nobug,,3.2857142857142856,3.25,18,15,0,0.0,0.0,0.0,13,7,0,0,0.0,0.0,0.0,15.429944444444446,26.666666666666668
HighFraming,english,every-day,True,True,True,4,5,1,1,5,5,4,6,5,5,2,bug,The text at the top that said to choose the order that felt the most grammatically correct was covering the score.,3.4285714285714284,4.0,22,21,16,0.7272727272727273,0.7,0.7619047619047619,15,9,12,8,0.75,0.8,0.8,15.610181818181815,21.818181818181817
HighFraming,english,several-times-a-week,True,True,True,5,5,2,1,5,5,4,6,6,6,1,nobug,,3.5714285714285716,4.5,36,33,26,0.7222222222222222,0.9,0.7878787878787878,14,10,8,4,0.5,0.4,0.5714285714285714,9.14681666665607,13.333333333333334
HighFraming,english,about-once-a-week,True,True,True,4,4,1,1,4,5,2,6,5,5,2,nobug,,3.5714285714285716,3.75,18,18,6,0.3333333333333333,0.3,0.3333333333333333,16,10,6,3,0.375,0.3,0.375,17.475749999998342,26.666666666666668
LowFraming,english,every-day,True,True,True,5,5,1,1,5,5,5,6,6,6,1,nobug,,3.4285714285714284,4.25,16,12,2,0.125,0.1,0.16666666666666666,12,8,2,2,0.125,0.2,0.16666666666666666,17.73344281257596,30.0
